City_ID,City,Lat,Lan,Temp_max,Hum,Cloudness,WindSpeed,Country,Date
91,kununurra,-15.7667,128.7333,93.2,33,40,17.27,AU,1617249439
92,dikson,73.5069,80.5464,-6.03,73,100,4.85,RU,1617249440
93,xiaolingwei,32.0333,118.85,57.2,100,90,6.71,CN,1617249440
94,salalah,17.0151,54.0924,77.0,22,0,4.61,OM,1617249440
95,xifeng,42.7372,124.7222,66.97,20,100,9.15,CN,1617249440
97,omboue,-1.5746,9.2618,72.75,90,100,5.21,GA,1617249440
98,qandala,11.472,49.8728,83.41,37,8,2.57,SO,1617249441
99,oranjestad,12.524,-70.027,79.0,78,20,18.41,AW,1617249210
100,tuktoyaktuk,69.4541,-133.0374,-13.0,70,40,20.71,CA,1617249441
101,abu dhabi,24.4667,54.3667,69.8,83,4,2.3,AE,1617249236
103,ribeira grande,38.5167,-28.7,58.23,72,0,11.74,PT,1617249441
104,boyolangu,-8.1181,111.8935,85.82,67,81,2.48,ID,1617249441
105,nanakuli,21.3906,-158.1547,82.4,54,20,8.05,US,1617249442
107,naze,28.3667,129.4833,71.6,94,75,14.97,JP,1617249360
108,emerald,-23.5333,148.1667,84.2,34,75,14.97,AU,1617249144
109,yertarskiy,56.7902,64.2995,31.77,82,100,12.91,RU,1617249442
110,nong phai,15.9903,101.0618,91.99,52,100,4.21,TH,1617249442
111,mar del plata,-38.0023,-57.5575,66.0,94,0,8.55,AR,1617249442
112,vanimo,-2.6741,141.3028,86.79,61,63,6.55,PG,1617249443
113,barrow,71.2906,-156.7887,-5.8,65,1,19.57,US,1617249443
114,hualmay,-11.0964,-77.6139,68.14,90,20,7.43,PE,1617249443
115,sarahan,31.5167,77.8,55.13,15,0,2.06,IN,1617249443
117,saint george,37.1041,-113.5841,62.01,12,1,4.61,US,1617249443
118,santa rosa,14.3122,121.1114,91.4,55,20,11.5,PH,1617249443
119,jalu,29.0331,21.5482,49.96,69,1,5.88,LY,1617249444
120,luwuk,-0.9516,122.7875,88.5,64,91,1.99,ID,1617249444
121,westerland,54.9079,8.3033,44.01,93,75,14.97,DE,1617249444
122,saint-philippe,-21.3585,55.7679,80.6,74,20,10.36,RE,1617249444
123,pevek,69.7008,170.3133,-0.44,85,100,3.51,RU,1617249444
124,kieta,-6.2167,155.6333,83.82,72,11,4.94,PG,1617249444
125,chuy,-33.6971,-53.4616,63.77,72,99,6.49,UY,1617249445
